"CauseId","CauseLocalName","CauseLocalDesc","CauseDI6Name","CauseLangCode"
"UNKNOWN","Desconocida","No se conoce ni existe aclaración de la causa que provocó el evento. ","DESCONOCIDA","es"
"ATMOSPHCONDITION","Condiciones atmosféricas","Se refiere a condiciones atmosféricas adversas como fuertes lluvias  neblina  vientos  tormenta eléctrica o a una combinación de estos eventos. Puede deberse a circulación regional  oceánica o continental de masas atmosféricas como frentes frios o la zona de convergencia intertropical.","CONDATMOSFERICAS","es"
"BEHAVIOR","Comportamiento","Costumbres o prácticas culturales que inducen la presencia de un evento socio-natural o antrópico. Puede referirse a situaciones de desastre o emergencia causadas por pánico; velas o lámparas para alumbrar; no uso de medidas de precaución; asentamientos humanos en zonas inundables o de laderas deslizables por desconocimiento de sus efectos o transgresión de la norma. Palabras claves: falta de prevención.","COMPORTAMIENTO","es"
"CONTAMINATION","Contaminación","Concentración de sustancias contaminantes en el aire  el agua o los suelos  con niveles perjudiciales para la salud humana  para cultivos o especies animales. Puede ser causa de intoxicación  biológico  plaga  etc.","CONTAMINACION","es"
"SHORTCIRCUIT","Cortocircuito","Circuito que se produce accidentalmente por contacto entre dos conductores de polos opuestos y suele ocasionar una descarga. En viviendas  industria  comercio o en redes eléctricas externas. Como causa de incendios.","CORTOCIRCUITO","es"
"OVERFLOW","Desbordamiento","Subida o creciente de agua  de forma rápida o lenta  sobre pequeñas áreas o vastas regiones  que supera la sección de cauces naturales (ríos  lagos  lagunas)  embalses o sistemas de desagüe. Como causa de inundaciones  avenidas torrenciales.","DESBORDAMIENTO","es"
"LANDSLIDE","Deslizamiento","Movimiento de masa en la superficie terrestre. Como causa de avenidas torrenciales  tsunami  sedimentación  etc. Palabras claves: derrumbe  asentamiento  corrimiento  reptación  desplazamiento  hundimiento  formación de grietas  colapso de cavernas o minas  caída de rocas  desprendimiento (lento o rápido) sobre vertientes o laderas  de masas de suelo o de rocas  -falla- en cortes o taludes de laderas  vías  canales  excavaciones.","DESLIZAMIENTO","es"
"DETERIORATION","Deterioro","Pérdida o disminución de las condiciones normales de una construcción o infraestructura. Aplicable a edificaciones de vivienda  de servicios  instituciones  así como a sistemas de líneas vitales  redes  puentes  etc. que por causa de su deterioro por uso o por falta de mantenimiento adecuado  conducen a circunstancias propias de ellas o por efectos de un fenómeno externo  a su malfunción  colapso  incendio.","DETERIORO","es"
"DESIGNERROR","Diseño","Errores o fallas en el diseño y/o construcción de obras civiles  instalaciones industriales  sistemas de infraestructura  etc. que conducen a colapsos  accidentes  explosiones  escapes  deslizamientos  avenidas e inundaciones (por ejemplo en ruptura de diques o presas).","DISEÑO","es"
"ENSO_KID","El Niño","Fenómeno que genera anomalías globales o regionales en el clima  tales como sequías  olas de calor  epidemias pero también lluvias  inundaciones y aluviones  asi como heladas entre otros. Muchos reportes de periódicos atribuyen períodos de menor o mayor cantidad de lluvias  a El Niño. Se debe ser estricto en incluir sólo los eventos El Niño (o -ENSO-) reportados como tales. Para las dos últimas décadas son: 1982 a 1983 (muy fuerte)  1987 (moderado)  1991 a 1992 (moderado?) y 1997 a 1998 (moderado). Se debe utilizar la causa El Niño o La Niña sólo en aquellos casos donde se haya confirmado con alguna fuente oficial y/o académica  su relación con el evento. Palabras claves: fase cálida de ENOS.","ELNIÑO","es"
"ENSO_GIRL","La Niña","Fenómeno -simétrico- a El Niño. Palabras claves: fase fría de ENOS.","LANIÑA","es"
"HUMANERROR","Error humano","Equivocación o acción desacertada en operación de plantas industriales  en manejo de maquinaria o de sistemas de infraestructura que provocan eventos tecnológicos como incendios  explosiones  escapes  accidentes  colapso estructural  etc.","ERRORHUMANO","es"
"EROSION","Erosión","Desgaste de la superficie terrestre por agentes externos como el agua o el viento. Incluye erosión hídrica  eólica y erosión por aguas subterráneas. Como causa de deslizamiento.","EROSION","es"
"ERUPTION","Actividad volcánica","Erupción o emisión de materias solidas  liquidas o gaseosas por aberturas o grietas de la corteza terrestre. Como causa de avenidas torrenciales  tsunami  contaminación (por gases  caída de cenizas). Palabras claves: emisión de lava  emisión de vapor  emisión de ceniza  emisión de barro (lodo)  emisión de agua  emisión de roca.","VOLCAN","es"
"LEAK","Escape","Derrame o fuga de sustancias tóxicas  líquidas  sólidas o gaseosas  radioactivas o no. Como causa de deslizamientos  incendios  intoxicaciones  etc. Excluye los efectos debidos a -Erupción volcánica-.","ESCAPE","es"
"EXPLOSION","Explosión","Liberación brusca de una gran cantidad de energía (térmica  química o nuclear)  acompañada de estruendo y rotura violenta del recipiente que la contiene  produciendo calor  luz y gases. Como causa de incendios  deslizamientos  etc.","EXPLOSION","es"
"FAILURE","Falla","Ruptura de la corteza terrestre debida a la acumulación de esfuerzos tectónicos o presión en volcanes. Como causa de sismos. Excluye todo lo que se encuentre como -falla- debida a malfunción de equipos o redes o como causa de deslizamientos.","FALLA","es"
"FLOOD","Inundación","Anegamiento o cubrimiento con agua de un terreno donde se localizen poblaciones  cultivos  bienes o infraestructura. Como causa de sedimentación  epidemias  deslizamientos.","INUNDACION","es"
"THERMALINVERSION","Inversión térmica","Presencia de una capa de aire caliente entre dos frías  de ocurrencia frecuente en las mañanas frías en valles de escasa circulación atmosférica. Se usa cuado está asociada con contaminantes atmosféricos que causan daños a la salud de los seres vivientes.","INVTERMICA","es"
"LOCALIZATION","Localización","Condiciones físicas de emplazamientos de población o infraestructura vulnerables tales como ocupación de áreas inestables o inundables por asentamientos humanos  planificados o nó (barrios legales  invasiones  o sus denominaciones locales como Pueblos Jóvenes  Precarios  Favelas  etc.).","LOCALIZACION","es"
"RAIN","Lluvias","Precipitación pluvial. Como causa primaria o disparadora de inundaciones  avenidas torrenciales  deslizamientos  accidentes  etc. Palabras claves: aguacero  chaparrón  chubasco  diluvio  páramo  turbonada.","LLUVIAS","es"
"FOG","Neblina","Masas de nubes que descienden hasta o desde la superficie terrestre. Implica perdida de visibilidad. Como causa de accidentes. Palabras claves: Niebla.","NEBLINA","es"
"NEGLIGENCE","Negligencia","Acción u omisión de acciones que desencadenan consecuencias adversas para un individuo o comunidad. Imputable a personas en ejercicio de poder  organismos o instituciones  gubernamentales  no gubernamentales o privadas. Aplicable a desastres en los cuales la principal causa identificada es la negligencia de responsables bien definidos en actividades de prestación de servicios básicos  o de prevención y de mitigación específicamente identificadas con anterioridad.","NEGLIGENCIA","es"
"OTHER","Otra causa","Se debe usar sólo cuando la causa no está definida en la lista de -causas oficiales- de DesInventar. Se debe realizar una descripción de la misma. Si es una causa frecuente en su inventario y no se puede incluir en ninguna de las predefinidas  puede crearla como una nueva causa.","OTRACAUSA","es"
"PLAGUE","Plaga","Proliferación de organismos que afectan a comunidades  a la agricultura  a la ganadería o a bienes perecederos almacenados. Como causa de epidemias  contaminación  etc.",,"es"
"DROUGHT","Sequía","Temporada seca  sin lluvias  o con déficit de lluvias. Como causa de incendios forestales  biológico (pérdida o migración masiva de animales).","SEQUIA","es"
"EARTHQUAKE","Sismo","Sacudidas bruscas del terreno causadas por el movimiento de las placas tectónicas. Como generador de tsunami  deslizamiento  licuación  avenidas torrencial  colapso estructural  incendio  explosión  accidente  cambio en la línea de costa  etc. Palabras claves: terremoto  movimiento telúrico  temblor  terremoto  tremor  seismo.","SISMO","es"
"DEFORESTATION","Tala","Equivalente a deforestación. Como causa de inundaciones  deslizamientos  biológico  etc.","TALA","es"
"STORM","Tempestad","Lluvia acompañada de vientos fuertes y/o de descargas eléctricas. Como causa de inundaciones.","TEMPESTAD","es"
"STRONGWIND","Vendaval","Perturbación atmosférica que genera vientos fuertes y destructivos  generalmente sin lluvia. Como causa de deslizamientos. Palabras claves: temporal  vientos huracanados  torbellinos  borrasca  viento fuerte  ventisca  tromba  ráfaga  racha.","VENDAVAL","es"
