"EventId","EventLocalName","EventLocalDesc","EventDI6Name","EventLangCode"
"ACCIDENT","Accident","Vehicular, rail, air or maritime transport accidents. This term is limited to those accidents resulting from natural phenomenon such as landslides, earthquakes, hurricanes, rainfall or adverse atmospheric conditions, etc. It includes those transport accidents which generate leaks of toxic substances, whatever the cause. Key words: vehicular accident, train accident, air accident, shipping accidents.","ACCIDENT","en"
"ALLUVION","Flash flood","Torrents of water which drag great quantities of solid material (pebbles, gravel and rocks). This term is applicable when referring to the effects of sudden rainfall on hitherto dry regions or dry riverbeds. Key words: torrent, mudslide, landslide.","ALLUVION","en"
"AVALANCHE","Avalanche","Fall or loosening of masses of ice and/or snow. Key words: avalanche.","AVALANCHE","en"
"BIOLOGICAL","Biological migration or loss","Death or migration of biological species. This may be ultimately attributable to contamination or to drastic changes in environmental parameters. One example is the –red tide- the warming of waters due to the phenomenon of El Niño or the lessening of optimum amounts of oxygen due to obstacles imposed by humans, such as dams and barrages.","BIOLOGICAL","en"
"COASTLINE","Change in coastline","Variation in the coastline and/or maritime areas near the coast. Includes the formation and destruction of islands, beaches and sand-dunes, erosion of cliffs, with effects on population, on navigation, etc.","COASTLINE","en"
"DROUGHT","Drought","Period of dryness, without rainfall or insufficient rainfall. Generally it refers to prolonged periods (months, years or even decades) which may occur in restricted continental areas or in regional steppes escalas . Excludes – Heatwave – although a –Heatwave- may occur during a period of drought. ","DROUGHT","en"
"EARTHQUAKE","Earthquake","An earthquake or a quake is the abrupt shaking of the earth caused by movement of tectonic plates. Key words: tremor, quake, upheaval, seismic movement.","EARTHQUAKE","en"
"ELECTRICSTORM","Electrical storm","Concentration of atmospheric electrical discharge (lightning) with effects on people, animals and domestic goods, infrastructure (for example, on electrical networks resulting in power cuts), or industry. This term is distinct from –storm- in that it is not accompanied by rain and strong winds.","ELECTRIC STORM","en"
"EPIDEMIC","Epidemic","Disease which attacks one or more individuals in the same area (over days, weeks, months) exceeding the expected frequency: such as cholera, typhoid fever, bubonic plague, etc. It should be taken into account that the declaration of an epidemic depends on the endemic conditions of the disease and the region. Key words: illness, endemic, pandemic.","EPIDEMIC","en"
"ERUPTION","Volcanic Activity","Eruption or emission of solid material, liquid or gas through openings or fissures in the earth surface. Includes eruptions of volcanoes of mud (diapirs). Key words: lava emission, vapour emission, ash emission, mud or earth emission, water emission, rock emission.","ERUPTION","en"
"EXPLOSION","Explosion","Abrupt liberation of a large amount of energy (thermic, chemical or nuclear), accompanied by thunderous noise and violent rupture of the containing recipient, producing heat, light and gases. Includes explosions related to human error or faults in infrastructure systems. In the normal –DesInventar- inventories this term excludes acts of war or terrorism.","EXPLOSION","en"
