"EventId","EventLocalName","EventLocalDesc","EventDI6Name","EventLangCode"
"ACCIDENT","Accidente","Accidentes de transporte vehicular; férreo; aéreo o naviero. Se limita a aquellos inducidos por fenómenos naturales como deslizamientos; sismos; huracanes; lluvias; o condiciones atmosféricas adversas; etc. Incluye aquellos accidentes de transporte que generan escapes de sustancias tóxicas; cualquiera sea su causa. Palabras claves: accidente vehicular; accidente férreo; accidente aéreo; accidente naviero. ","ACCIDENTE","es"
"AVALANCHE","Alud","Desprendimiento de masas de hielo y/o nieve. Palabras claves: avalancha.","AVALANCHA","es"
"ALLUVION","Aluvión","Avenidas torrenciales con arrastre de grandes cantidades de material sólido (guijarros; gravas y bloques de rocas); aplicable a aquellas regiones secas o cauces secos en los que las lluvias ocasionales los producen. Palabras claves: avenida torrencial; huayco; lloclla.","ALUVION","es"
"SPATE","Avenida torrencial","Flujo violento de agua en una cuenca; a veces reportado como creciente (súbita; rápida); o como torrente. Se aplica cuando en los reportes aparece como -avalancha-; cuando la avenida transporta troncos de árboles y/o abundantes sedimentos desde finos hasta bloques de roca. Pueden ser generados por lluvias; por ruptura de represamientos o por abundantes deslizamientos sobre una cuenca. Excluye los aludes; porque éstos implican desprendimiento de hielo o nieve. Palabras claves: creciente súbita o rápida; torrente.","AVENIDA","es"
"BIOLOGICAL","Biológico","Mortandad o migración de especies biológicas. Pueden; en última instancia; estar asociados a contaminación o a cambios drásticos de parámetros ambientales. Un ejemplo es la -marea roja-; el calentamiento de las aguas por el fenómeno de El Niño o disminución de las cantidades óptimas de oxígeno por obstáculos que el ser humano impone a ciertas especies; como los diques o presas. ","BIOLOGICO","es"
"POLLUTION","Contaminación","Concentración de sustancias contaminantes en el aire; el agua o los suelos; con niveles perjudiciales para la salud humana; para cultivos o especies animales. ","CONTAMINACION","es"
"LANDSLIDE","Deslizamiento","Movimiento de masa en la superficie terrestre. Palabras claves: derrumbe; asentamiento; corrimiento; reptación; desplazamiento; hundimiento; formación de grietas; colapso de cavernas o minas; caída de rocas; desprendimiento (lento o rápido) sobre vertientes o laderas; de masas de suelo o de rocas; -falla- en cortes o taludes de laderas; vías; canales; excavaciones.","DESLIZAMIENTO","es"
"EPIDEMIC","Epidemia","Enfermedad que ataca en una misma zona a uno o mas individuos (días; semanas; meses) excediendo la frecuencia esperada: como el cólera; la fiebre tifoidea; la peste bubónica; etc. Se debe tener en cuenta que la declaración de una epidemia depende de las condiciones endémicas de la misma y de la región. Palabras claves: enfermedad; endemia; pandemia.","EPIDEMIA","es"
"ERUPTION","Actividad Volcánica","Erupción o emisión de materias solidas; liquidas o gaseosas por aberturas o grietas de la corteza terrestre. Incluye erupciones de volcanes de lodo (diapiros); presentes en algunas regiones. Palabras claves: emisión de lava; emisión de vapor; emisión de ceniza; emisión de barro (lodo); emisión de agua; emisión de roca. ","VOLCAN","es"
"LEAK","Escape","Derrame o fuga de sustancias tóxicas; líquidas; sólidas o gaseosas (p. ej. fuga de gas propano); radioactivas o no; por ejemplo generados por accidentes tecnológicos; por error humano o negligencia.","ESCAPE","es"
