"ABW": Xmin=-70.05966   ;Xmax=-69.87486   ;Ymin=12.41111   ;Ymax=12.62778   ;
"AFG": Xmin=60.50417    ;Xmax=74.91574    ;Ymin=29.40611   ;Ymax=38.47198   ;
"AGO": Xmin=11.73125    ;Xmax=24.08444    ;Ymin=-18.01639  ;Ymax=-4.38899   ;
"AIA": Xmin=-63.16778   ;Xmax=-62.97271   ;Ymin=18.16444   ;Ymax=18.27298   ;
"ALB": Xmin=19.28854    ;Xmax=21.05333    ;Ymin=39.645     ;Ymax=42.66034   ;
"AND": Xmin=1.42139     ;Xmax=1.78172     ;Ymin=42.43639   ;Ymax=42.65597   ;
"ANT": Xmin=-69.16362   ;Xmax=-68.19292   ;Ymin=12.02056   ;Ymax=12.38389   ;
"ARE": Xmin=51.58333    ;Xmax=56.38166    ;Ymin=22.63333   ;Ymax=26.08388   ;
"ARG": Xmin=-73.5823    ;Xmax=-53.65001   ;Ymin=-55.05167  ;Ymax=-21.78052  ;
"ARM": Xmin=43.45416    ;Xmax=46.62054    ;Ymin=38.84115   ;Ymax=41.29705   ;
"ASM": Xmin=-170.82323  ;Xmax=-170.56187  ;Ymin=-14.37556  ;Ymax=-14.25431  ;
"ATA": Xmin=-180        ;Xmax=180         ;Ymin=-90        ;Ymax=-60.50333  ;
"ATG": Xmin=-61.89111   ;Xmax=-61.66695   ;Ymin=16.98972   ;Ymax=17.7243    ;
"AUS": Xmin=112.90721   ;Xmax=158.96037   ;Ymin=-54.75389  ;Ymax=-10.1357   ;
"AUT": Xmin=9.53357     ;Xmax=17.16639    ;Ymin=46.40749   ;Ymax=49.01875   ;
"AZE": Xmin=44.77886    ;Xmax=50.37499    ;Ymin=38.38915   ;Ymax=41.89706   ;
"BDI": Xmin=28.985      ;Xmax=30.85319    ;Ymin=-4.44806   ;Ymax=-2.30156   ;
"BEL": Xmin=2.54167     ;Xmax=6.3982      ;Ymin=49.50888   ;Ymax=51.50125   ;
"BEN": Xmin=0.77666     ;Xmax=3.855       ;Ymin=6.21872    ;Ymax=12.39666   ;
"BFA": Xmin=-5.52083    ;Xmax=2.39792     ;Ymin=9.39569    ;Ymax=15.08278   ;
"BGD": Xmin=88.04387    ;Xmax=92.66934    ;Ymin=20.74482   ;Ymax=26.62614   ;
"BGR": Xmin=22.36528    ;Xmax=28.60514    ;Ymin=41.24305   ;Ymax=44.22472   ;
"BHR": Xmin=50.45333    ;Xmax=50.79639    ;Ymin=25.57194   ;Ymax=26.28889   ;
"BHS": Xmin=-78.9789    ;Xmax=-72.73889   ;Ymin=20.91528   ;Ymax=26.92917   ;
"BIH": Xmin=15.74059    ;Xmax=19.61979    ;Ymin=42.56583   ;Ymax=45.26595   ;
"BLR": Xmin=23.1654     ;Xmax=32.74006    ;Ymin=51.25185   ;Ymax=56.16749   ;
"BLZ": Xmin=-89.2164    ;Xmax=-87.77959   ;Ymin=15.88985   ;Ymax=18.4899    ;
"BMU": Xmin=-64.82306   ;Xmax=-64.67681   ;Ymin=32.26055   ;Ymax=32.37951   ;
"BOL": Xmin=-69.65619   ;Xmax=-57.52112   ;Ymin=-22.90111  ;Ymax=-9.6792    ;
"BRA": Xmin=-74.00459   ;Xmax=-34.79292   ;Ymin=-33.74112  ;Ymax=5.27271    ;
"BRB": Xmin=-59.65945   ;Xmax=-59.42709   ;Ymin=13.05055   ;Ymax=13.33708   ;
"BRN": Xmin=114.09508   ;Xmax=115.36026   ;Ymin=4.01819    ;Ymax=5.05305    ;
"BTN": Xmin=88.75194    ;Xmax=92.11422    ;Ymin=26.70361   ;Ymax=28.325     ;
"BWA": Xmin=19.99611    ;Xmax=29.37362    ;Ymin=-26.87556  ;Ymax=-17.78208  ;
"CAF": Xmin=14.41889    ;Xmax=27.45972    ;Ymin=2.22126    ;Ymax=11.00083   ;
"CAN": Xmin=-141.00299  ;Xmax=-52.61736   ;Ymin=41.67555   ;Ymax=83.11388   ;
"CCK": Xmin=96.81749    ;Xmax=96.86485    ;Ymin=-12.19944  ;Ymax=-12.13042  ;
"CHE": Xmin=5.96701     ;Xmax=10.48821    ;Ymin=45.82944   ;Ymax=47.80666   ;
"CHL": Xmin=-109.44611  ;Xmax=-66.42063   ;Ymin=-55.90223  ;Ymax=-17.50528  ;
"CHN": Xmin=73.62005    ;Xmax=134.76846   ;Ymin=18.16888   ;Ymax=53.55374   ;
"CIV": Xmin=-8.60638    ;Xmax=-2.48778    ;Ymin=4.34472    ;Ymax=10.73526   ;
"CMR": Xmin=8.50236     ;Xmax=16.207      ;Ymin=1.65417    ;Ymax=13.085     ;
"COG": Xmin=11.14066    ;Xmax=18.64361    ;Ymin=-5.015     ;Ymax=3.71111    ;
"COK": Xmin=-165.84834  ;Xmax=-157.70377  ;Ymin=-21.94083  ;Ymax=-10.88132  ;
"COL": Xmin=-81.72015   ;Xmax=-66.87045   ;Ymin=-4.23687   ;Ymax=12.59028   ;
"COM": Xmin=43.21402    ;Xmax=44.53041    ;Ymin=-12.38306  ;Ymax=-11.36694  ;
"CPV": Xmin=-25.36056   ;Xmax=-22.66611   ;Ymin=14.81111   ;Ymax=17.19236   ;
"CRI": Xmin=-85.91139   ;Xmax=-82.5614    ;Ymin=8.02567    ;Ymax=11.21285   ;
"CUB": Xmin=-84.95293   ;Xmax=-74.13126   ;Ymin=19.82194   ;Ymax=23.19403   ;
"CXR": Xmin=105.629     ;Xmax=105.7519    ;Ymin=-10.51097  ;Ymax=-10.38408  ;
"CYM": Xmin=-81.40084   ;Xmax=-81.09306   ;Ymin=19.265     ;Ymax=19.35416   ;
"CYP": Xmin=32.26986    ;Xmax=34.58604    ;Ymin=34.64027   ;Ymax=35.68861   ;
"CZE": Xmin=12.0937     ;Xmax=18.85222    ;Ymin=48.58138   ;Ymax=51.05249   ;
"DEU": Xmin=5.865       ;Xmax=15.03382    ;Ymin=47.27472   ;Ymax=55.05653   ;
"DJI": Xmin=41.75986    ;Xmax=43.42041    ;Ymin=10.94222   ;Ymax=12.70833   ;
"DMA": Xmin=-61.49139   ;Xmax=-61.2507    ;Ymin=15.19806   ;Ymax=15.63194   ;
"DNK": Xmin=8.09292     ;Xmax=15.14917    ;Ymin=54.56194   ;Ymax=57.74597   ;
"DOM": Xmin=-72.00307   ;Xmax=-68.32293   ;Ymin=17.60417   ;Ymax=19.93083   ;
"DZA": Xmin=-8.66722    ;Xmax=11.98648    ;Ymin=18.97639   ;Ymax=37.08986   ;
"ECU": Xmin=-91.66389   ;Xmax=-75.21684   ;Ymin=-5.00031   ;Ymax=1.43778    ;
"EGY": Xmin=24.7068     ;Xmax=36.89583    ;Ymin=21.99416   ;Ymax=31.64694   ;
"ERI": Xmin=36.44328    ;Xmax=43.12138    ;Ymin=12.36389   ;Ymax=17.99488   ;
"ESH": Xmin=-17.10153   ;Xmax=-8.66639    ;Ymin=20.7641    ;Ymax=27.66696   ;
"ESP": Xmin=-18.16987   ;Xmax=4.31694     ;Ymin=27.6375    ;Ymax=43.7643    ;
"EST": Xmin=21.83736    ;Xmax=28.19409    ;Ymin=57.52263   ;Ymax=59.66472   ;
"ETH": Xmin=32.9918     ;Xmax=47.98824    ;Ymin=3.40667    ;Ymax=14.88361   ;
"FIN": Xmin=19.51139    ;Xmax=31.58196    ;Ymin=59.8068    ;Ymax=70.08861   ;
"FJI": Xmin=171         ;Xmax=180         ;Ymin=-19.16278  ;Ymax=-16.15347  ;
"FLK": Xmin=-61.14806   ;Xmax=-57.7332    ;Ymin=-52.34306  ;Ymax=-51.24945  ;
"FRA": Xmin=-4.79028    ;Xmax=9.56222     ;Ymin=41.36492   ;Ymax=51.09111   ;
"FRO": Xmin=-7.43347    ;Xmax=-6.38972    ;Ymin=61.38833   ;Ymax=62.3575    ;
"FSM": Xmin=158.1201    ;Xmax=163.04289   ;Ymin=5.26167    ;Ymax=6.97764    ;
"GAB": Xmin=8.70083     ;Xmax=14.51958    ;Ymin=-3.92528   ;Ymax=2.3179     ;
