"Group","Key","Value(spa)","Value(eng)","Value(por)","Value(fre)"
"di8_user","tuser","Usuario","User","Usuário",
"di8_user","tname","Nombre","Name","Nome",
"di8_user","tpassword","Clave","Password","Senha",
"di8_user","temail","Email","Email","Email",
"di8_user","toldpassword","Ingrese su clave","Type your password","Digite sua senha",
"di8_user","tnewpassword","Nueva clave","New password","Nova senha",
"di8_user","trenewpassw","Re-ingrese","Re-type your password","Digite-a novamente",
"di8_user","tcountry","País","Country","País",
"di8_user","tcity","Ciudad","City","Cidade",
"di8_user","tactive","Activo","Active","Ativo",
"di8_user","baddoption","Adicionar","Add","Adicionar",
"di8_user","bsave","Guardar","Save","Salvar",
"di8_user","bsend","Generar","Generate","Gerar",
"di8_user","bcancel","Cancelar","Cancel","Cancelar",
"di8_user","benter","Entrar","Login","Entrar",
"di8_user","tpasslost","¿Olvidó su clave?","Forgot your password?","Esqueceu sua senha?",
"di8_user","toptions","Opciones","Options","Opções",
"di8_user","tclosesess","Cerrar sesión","Close session","Fechar sessão",
"di8_user","tmyregions","Mis bases","My Databases","Meus bancos",
"di8_user","tconfigacc","Mi cuenta","My Account","Minha conta",
"di8_user","thello","Hola","Hi!","Olá",
"di8_user","tdetails","Acceder","Access","Entrar",
"di8_user","tuserprefer","Edición de cuenta de usuario","Edit user account","Edição de conta de usuário",
"di8_user","tuseremail","Correo electrónico (<i>e-mail</i>)","Electronic mail (<i>email</i>)","Correio eletrônico (<i>e-mail</i>)",
"di8_user","tadminperms","Permisos administrativos","Administrative authority","Permissões administrativas",
"di8_user","tadminregs","Gestión de bases de datos","Databases management","Gestão de bancos de dados",
"di8_user","tadminusrs","Gestión de usuarios","User management","Gestão de usuários",
"di8_user","tyourrol","Sus roles y bases de datos son:","Your roles and databases are:","Seus perfis e bancos de dados são:",
"di8_user","tadminof","Administrador","Manager","Administrador",
"di8_user","tobservof","Observador","Observer","Observador",
"di8_user","tuserof","Alimentador","Feeder","Alimentador",
"di8_user","tsupervof","Supervisor","Supervisor","Supervisor",
"di8_user","tnorol","Ninguna","None","Nenhuma",
"di8_user","tgetemailpass","Recordatorio de usuario y clave","Reminder for user and password","Lembrança de usuário e senha",
"di8_user","tmsgpasslost","Si olvidó su clave solicítela aquí. Digite su correo electrónico.","If you have forgotten your password, you can ask for it here. Type in your email address.","Se esquecer de sua senha solicite-a aqui. Digite seu email",
"di8_user","msgsendemail","Su usuario es:","Your user name is:","Seu usuário é:",
"di8_user","msgsendemail2","Su clave es:","Your password is:","Sua senha é:",
"di8_user","errsendemail","email no se encuentra registrado. Intente nuevamente..","Email address is not registered. Try again.","Email não registrado. Tente novamente",
"di8_user","terror","Error","Error","Erro",
"di8_user","errinvaliduser","Usuario o clave no válidos","Invalid user name or password","Usuário o senha inválido",
"di8_user","errmsgfrmregist","Error enviando REGISTRO. Llene todos los campos requeridos e intente nuevamente.","Error sending REGISTER.  Fill in all required fields and try again.","Erro enviando REGISTRO. Preencha todos os campos requeridos e tente novamente",
"di8_user","msginsertsucc","Ingreso exitoso de nuevo usuario","New user input successful","Entrada de novo usuário com sucesso",
"di8_user","msgupdatesucc","Actualización exitosa de usuario","User update successful","Atualização de usuário com sucesso",
"di8_user","errinsert","No se pudo ingresar usuario","Unable to input user","Não foi possível criar entrada ao usuário",
"di8_user","errupdate","No fué posible actualizar el usuario","Unable to update user","Não foi possível atualizar o usuário",
"di8_user","errbadpasswd","clave es incorrecta","Incorrect password","Senha incorreta",
"di8_user","errnomatch","clave nueva y re-ingrese no coinciden","New password and re-input do not match.","Senha não confere",
"di8_region","ttname","Gestión de base de datos","Databases management","Gestão de bancos de dados",
"di8_region","tregionuuid","Base ID","Database ID","Banco ID",
"di8_region","tregnamlist","Nombre base","Name of database","Nome banco",
"di8_region","tregcntlist","País","Country","País",
"di8_region","tregadmlist","Administrador","Administrator","Administrador",
"di8_region","tregactlist","Activo","Active","Ativo",
"di8_region","tregpublist","Pública","Public","Pública",
"di8_region","tcredits","Créditos","Credits","Créditos",
"di8_region","tmethodology","Metodología","Methodology","Metodologia",
"di8_region","tstaff","Hito","Landmark","Acontecimento",
"di8_region","tsupport","Mantenimiento","Maintenance","Manutenção",
"di8_region","tdescription","Descripción","Description","Descrição",
"di8_region","tnopublic","Base de datos en construcción. Acceso restringido a usuarios de la base.","The database is under construction. Only for database members.","Banco de dados em construção. Acesso restrito aos usuários do banco",
"di8_region","tvalregid","Base ID disponible","Available database ID","Banco ID disponível",
"di8_region","tinvregid","Base ID no disponible","Database ID unavailable","Banco ID não disponível",
"di8_region","tinsert","Creada y","Created and","Criado e",
"di8_region","tupdate","Actualizada y","Updated and","Atualizado e",
"di8_region","tsetrole","asignada","Assigned","Atribuído",
"di8_region","terrinsupd","No fué posible ingresar la base.","Unable to enter database","Não foi possível o ingresso ao banco",
"di8_region","terrsetrole","no asignada","Unassigned","Não atribuído",
"di8_region","baddoption","Adicionar","Add","Adicionar",
"di8_region","bloaddir","Leer de directorio","Load directory","Load directory*",
"di8_region","bupzipfile","Crear base desde archivo ZIP","Upload Database ZIP file","Crear base desde archivo ZIP*",
"di8_region","bsave","Guardar","Save","Salvar",
"di8_region","bcancel","Cancelar","Cancel","Cancelar",
"di8_region","tviewdbase","Seleccione la base de datos que desea visualizar","Select the database you wish to view","Selecione o banco de dados que deseja visualizar",
"di8_region","tmoddescon","Consultas de datos, generación de mapas, gráficos y consolidados","Queries of Data, maps, graphics and consolidates generation","Consultas de dados, geração de mapas, gráficos e consolidados",
"di8_region","tmoddesinv","Ingreso de fichas, administracion bases de datos, acceso restringido","Data card input, database administration, restricted access","Ingresso de formulários, administração bancos de dados, acesso restrito",
"di8_region","RegionDatabasePeriod","Periodo","Period","Período",
"di8_region","trepnum","Número de fichas","Reports","Formulários",
"di8_region","tlastupd","Última modificación","Last update","Última atualização",
"di8_region","RegionDatacardPeriod","Periodo Fichas","Datacard Period","Período de datos",
"di8_reginfo","baddoption","Adicionar","Add","Adicionar",
"di8_reginfo","bsave","Guardar","Save","Salvar",
"di8_reginfo","bcancel","Cancelar","Cancel","Cancelar",
"di8_reginfo","terror","Error","Error","Erro",
"di8_reginfo","msgupdinfo","Base actualizada exitosamente!","Database updated successfully!","Banco atualizado com sucesso!",
"di8_reginfo","errupdinfo","Error actualizando la base","Error updating database","Erro atualizando o banco",
"di8_reginfo","msgupdrole","Rol de usuario actualizado exitosamente!","User role updated successfully!","Perfil de usuário atualizado com sucesso!",
"di8_reginfo","errupdrole","Error actualizando rol de usuario","Error updating user role","Erro atualizando perfil de usuário",
"di8_reginfo","msginslog","Bitácora creada exitosamente!","Log created successfully!","Relatório criado com sucesso!",
"di8_reginfo","errinslog","Error ingresando Bitácora","Error creating Log","Erro ingressando Relatório",
"di8_reginfo","msgupdlog","Bitácora actualizada exitosamente!","Log updated successfully","Relatório atualizado com sucesso!",
"di8_reginfo","errupdlog","Error actualizando Bitácora","Error updating Log","Erro atualizando Relatório",
"di8_reginfo","errmsgfrm","INFORMACION: Llene todos los campos requeridos e intente nuevamente.","Register all fields in the RECORD DESINVENTAR. Fill in all required fields and try again.","Registre todos os campos do FORMULÁRIO DESINVENTAR. Preencha todos os campos requeridos e tente de novo",
"di8_reginfo","errmsgfrmrol","ROLES: Llene todos los campos requeridos e intente nuevamente.","ROLES: Fill in all required fields and try again.","Perfis: Preencha todos os campos requeridos e tente novamente",
"di8_reginfo","errmsgfrmlog","BITACORA: Llene todos los campos requeridos e intente nuevamente.","LOG: Fill in all required fields and try again.","RELATÓRIO: Preencha todos os campos requeridos e tente novamente",
"di8_reginfo","msgupdrole","Rol de usuario actualizado exitosamente!","User role updated successfully!","Perfil de usuário atualizado com sucesso!",
"di8_reginfo","errupdrole","Error actualizando rol de usuario","Error updating user role","Erro atualizando perfil de usuário",
"di8_geography","baddoption","Adicionar","Add","Adicionar",
"di8_geography","bsave","Guardar","Save","Salvar",
"di8_geography","bcancel","Cancelar","Cancel","Cancelar",
"di8_geography","terror","Error","Error","Erro",
"di8_geography","errchkname","Nombre de nivel ya existe","Unable to use type of cause name because it already exists.","Nome de causa não foi possível utilizar porque já existe",
"di8_geography","msginslev","Nivel creado exitosamente!","Level created successfully!","Nível criado com sucesso!",
"di8_geography","errinslev","No se pudo ingresar nuevo nivel","Unable to input new level","Não foi possível ingressar o novo nível",
"di8_geography","msgupdlev","Nivel actualizado exitosamente","Level updated successfully!","Nível atualizado com sucesso!",
"di8_geography","errupdlev","No se pudo actualizar nivel","Unable to update level","Não foi possível atualizar o nível",
"di8_geography","errchkcode","Código de geografía ya existe","Geographic code already exists","Código de geografia já existe",
