"Group","Key","Value(spa)","Value(eng)","Value(por)","Value(fre)"
"portal","di_slogan","Sistema de inventario de efectos de desastres","Inventory system of the effects of disasters","Sistema de inventário de efeitos de desastres","Système d'inventaire des effets des catastrophes"
"portal","di_andeansubregion","SubRegión Andina","Andean Subregion","Sub Região Andina","Sous-région andine"
"portal","tdititle","Sistema de inventario de efectos de desastres","Inventory system of the effects of disasters","Sistema de inventário de efeitos de desastres","Système d'inventaire des effets des catastrophes"
"portal","tcountries","Regiones","Regions","Regiões","Régions"
"portal","tvirtualreg","Regiones Virtuales","Virtual regions","Regiões Virtuais","Régions Virtuelles"
"portal","hlostconn","Comunicación fallida: Verifique su conexión a Internet","Failed communication. Check your internet connection.","Comunicação falida: Verifique sua conexão à Internet","Échec de la communication. Vérifiez votre connexion Internet"
"portal","tdbavail","Bases de efectos disponibles","Databases of available effects","Bancos de efeitos disponíveis","Inventaires de Désastres disponibles"
"portal","tdbnotavail","No hay bases de datos disponibles por el momento","There are no databases available at the moment.","Não há bancos de dados disponíveis no momento","Il n'existe pas de bases de données disponibles"
"portal","tmoreinfo","Mas información","More information","Mais informação","Plus d'informations"
"portal","talerdiwin","DesInventar está en uso. ¿Está seguro que desea salir?","DesInventar is being used. Are you sure do you want to quit?","DesInventar está sendo usado. Tem certeza que deseja sair?","Êtes-vous sûr de vouloir arrêter de fumer?"
"portal","tstartpage","Inicio","Home","Início","Accueil"
"portal","tlang","Idioma","Language","Idioma","Langue"
"portal","tusers","Usuarios","Users","Usuários","Utilisateur"
"portal","msgUserAccess","Acceso a Usuarios","Users's Access","Acessos de usuários","L'accès des utilisateurs"
"portal","msgUserLogin","Ingresar","Login","Entrada","Connexion"
"portal","msgUserLogout","Salir","Logout","Logout","Déconnexion"
"portal","msgRegionList","Listado Regiones","Region List","Lista de banco de dados","La liste de base de données"
"portal","tcredits","En alianza estratégica con","In strategic alliance with","Em convenio estratégico com","En alliance stratégique avec"
"portal","treg1","Asia","Asia","Ásia","Asie"
"portal","treg2","Centro América","Central America","América Central","Amérique centrale"
"portal","treg3","Cono Sur","Southern Cone","Cone Sul","Cône Sud"
"portal","treg4","Gran Chaco","Gran Chaco","Grande Chaco","Gran Chaco"
"portal","treg5","Norte América","North America","América do Norte","Amérique du Nord"
"portal","treg6","SubRegión Andina","Andean Subregion",,"Sous-région andine"
"portal","treg7","Ciudades","Cities","Cidades","Villes"
"portal","treg8","Gran Chaco Americano","Great American Chaco","Grande Chaco Americano","Gran Chaco Americano"
"portal","tcopyright","(c) 1998-2010 Corporación OSSO - Colombia","(c) 1998-2010 Corporación OSSO - Colombia","(c) 1998-2010 Corporação OSSO - Colômbia","(c) 1998-2010 Corporación OSSO - Colombia"
"portal","tcountryBOL","Bolivia","Bolivia","Bolívia","Bolivie"
"portal","tcountryECU","Ecuador","Ecuador","Equador","Équateur"
"portal","tcountryCOL","Colombia","Colombia","Colômbia","Colombie"
"portal","tcountryPER","Perú","Perú","Perú","Pérou"
"portal","tcountryVEN","Venezuela","Venezuela","Venezuela","Venezuela"
