"LGName","LabelName","LGOrder","DictTranslation(eng)","DictTranslation(spa)","DictTranslation(por)","DictTranslation(fre)","DictTechHelp(eng)","DictTechHelp(spa)","DictTechHelp(por)","DictTechHelp(fre)","DictBasDesc(eng)","DictBasDesc(spa)","DictBasDesc(por)","DictBasDesc(fre)","DictFullDesc(eng)","DictFullDesc(spa)","DictFullDesc(por)","DictFullDesc(fre)"
"DB","Region","1","Information","Información","Informação","Information"," "," "," "," ","General information about the database DesInventar with the intention of providing information about the same.","Información general sobre la base de datos DesInventar a modo de introducción y divulgación.","Informações gerais de introdução e divulgação do banco de dados DesInventar","General information about the database DesInventar with the intention of providing information about the same."," "," "," "," "
"DB","RegionId","2","Id database","Id Base de Datos","Id Banco de Dados","Id base de données","No duplicates","No duplicado","Não duplicado","No duplicates","Identifier of Database","Identificador de la Base de Datos","Identificador do Banco de Dados","Identifier of Database"," "," "," "," "
"DB","RegionLabel","3","Database","Base de Datos","Banco de Dados","Base de données","Name of the database","Nombre","Nome","Name of the database","Label or name of the database","Etiqueta o nombre para la base de datos","Rótulo ou nome do banco de dados","Label or name of the database"," "," "," "," "
"DB","LangIsoCode","4","Language","Idioma","Idioma","Langue","Select an item from the list","Seleccione un elemento de la lista","Selecione um elemento da lista","Select an item from the list","Default language in which to enter information into the database.","Lenguaje por defecto en el que se registra la información","Idioma de origem em que se registra a informação.","Default language in which to enter information into the database."," "," "," "," "
"DB","CountryIso","5","Country","País","Country*","Country*","Select a country","Seleccione el pais","Select a country*","Select a country*"," "," "," "," "," "," "," "," "
"DB","RegionOrder","6","Order","Orden","Order*","Order*","Order in country","Orden en el pais","Order in country*","Order in country*"," "," "," "," "," "," "," "," "
"DB","RegionStatus","7","Status","Estado","Status*","Status*","Mark a status","Estado","Mark a status*","Mark a status*"," "," "," "," "," "," "," "," "
"DB","RegionLastUpdate","8","Last revised","Ultima revisión","Última revisão","Dernière révision","Date of the last revision of the database.","XXXXX","XXXXX","Date of the last revision of the database.","Date on which the basic information of the Region was last modified.","Ultima fecha en la cual se modificó la información base de la Región","Última data de modificação das informações da Região","Date on which the basic information of the Region was last modified."," "," "," "," "
"DB","InfoCredits","9","Credits","Créditos","Créditos","Credits*",,,,,,,,," "," "," "," "
"DB","InfoGeneral","10","General Information","Generalidades","Generalidades","General Information*","Text or key words","Texto o palabras claves","Texto ou palavras-chave","Text or key words","General information about the database; which should contain: \n-Period\n-Number of records\n-Sources of information\n-General description of database.","Información general sobre la base de datos; que debe contener:\n-Periodo\n-Número de registros\n-Fuentes de información\n-Sinopsis (análisis general)","Informação geral sobre o banco de dados; que deve conter:\n-Período\n-Número de ocorrências\n-Fontes de informação\n-Sinopses (análise geral)","General information about the database; which should contain: \n-Period\n-Number of records\n-Sources of information\n-General description of database."," "," "," "," "
