"Group","Key","Value(spa)","Value(eng)","Value(por)","Value(fre)"
"portal","di_slogan","Sistema de inventario de efectos de desastres","Inventory system of the effects of disasters","Sistema de inventário de efeitos de desastres","Système d'inventaire des effets des catastrophes"
"portal","tdititle","Sistema de inventario de efectos de desastres","Inventory system of the effects of disasters","Sistema de inventário de efeitos de desastres","Système d'inventaire des effets des catastrophes"
"portal","tcountries","Regiones","Regions","Regiões","Régions"
"portal","tvirtualreg","Regiones Virtuales","Virtual regions","Regiões Virtuais","Régions Virtuelles"
"portal","hlostconn","Comunicación fallida: Verifique su conexión a Internet","Failed communication. Check your internet connection.","Comunicação falida: Verifique sua conexão à Internet","Échec de la communication. Vérifiez votre connexion Internet"
"portal","tdbavail","Bases de efectos disponibles","Databases of available effects","Bancos de efeitos disponíveis","Inventaires de Désastres disponibles"
"portal","tdbnotavail","No hay bases de datos disponibles por el momento","There are no databases available at the moment.","Não há bancos de dados disponíveis no momento","Il n'existe pas de bases de données disponibles"
"portal","tmoreinfo","Mas información","More information","Mais informação","Plus d'informations"
"portal","talerdiwin","DesInventar está en uso. ¿Está seguro que desea salir?","DesInventar is being used. Are you sure do you want to quit?","DesInventar está sendo usado. Tem certeza que deseja sair?","Êtes-vous sûr de vouloir arrêter de fumer?"
"portal","tstartpage","Inicio","Home","Início","Accueil"
"portal","tlang","Idioma","Language","Idioma","Langue"
"portal","tusers","Usuarios","Users","Usuários","Utilisateur"
"portal","msgUserAccess","Acceso a Usuarios","Users's Access","Acessos de usuários","L'accès des utilisateurs"
"portal","msgUserLogin","Ingresar","Login","Entrada","Connexion"
"portal","msgUserLogout","Salir","Logout","Logout","Déconnexion"
"portal","msgRegionList","Listado Regiones","Region List","Lista de banco de dados","La liste de base de données"
"portal","tcredits","En alianza estratégica con","In strategic alliance with","Em convenio estratégico com","En alliance stratégique avec"
"portal","msgRegionAfrica","África","Africa","África","Afrique"
"portal","msgRegionAsia","Asia","Asia","Ásia","Asie"
"portal","msgRegionSouthAmerica","América del Sur","South America","América do Sul","Amérique du Sud"
"portal","msgRegionCentralAmerica","Centro América","Central America","América Central","Amérique centrale"
"portal","msgRegionNorthAmerica","Norte América","North America","América do Norte","Amérique du Nord"
"portal","msgRegionSouthernCone","Cono Sur","Southern Cone","Cone Sul","Cône Sud"
"portal","msgregionGranChaco","Gran Chaco","Gran Chaco","Grande Chaco","Gran Chaco"
"portal","msgRegionAndean","SubRegión Andina","Andean Subregion",,"Sous-région andine"
"portal","msgRegionCities","Ciudades","Cities","Cidades","Villes"
"portal","msgRegionGreatAmericanChaco","Gran Chaco Americano","Great American Chaco","Grande Chaco Americano","Gran Chaco Americano"
"portal","msgRegionLatinAmerica","América Latina","Latin America","América Latina","Amérique latine"
"portal","msgRegionCaribbean","Región Caribe","Caribbean Region","Região do Caribe","La région des Caraïbes"
"portal","msgRegionPacific","Pacífico Sur","South Pacific","Pacífico Sul","Pacifique Sud"
"portal","tcopyright","(c) 1998-2010 Corporación OSSO - Colombia","(c) 1998-2010 Corporación OSSO - Colombia","(c) 1998-2010 Corporação OSSO - Colômbia","(c) 1998-2010 Corporación OSSO - Colombia"
"portal","tcountryARG","Argentina","Argentina","Argentina","Argentine"
"portal","tcountryBOL","Bolivia","Bolivia","Bolívia","Bolivie"
"portal","tcountryCHL","Chile","Chile","Chile","Chile"
"portal","tcountryCOL","Colombia","Colombia","Colômbia","Colombie"
"portal","tcountryCRI","Costa Rica","Costa Rica","Costa Rica","Costa Rica"
"portal","tcountryDOM","Rep. Dominicana","Dominican Rep.","Rep. Dominicana","Rép Dominicaine"
"portal","tcountryECU","Ecuador","Ecuador","Equador","Équateur"
"portal","tcountryGTM","Guatemala","Guatemala","Guatemala","Guatemala"
"portal","tcountryGUY","Guyana","Guyana","Guiana","Guyana"
"portal","tcountryHND","Honduras","Honduras","Honduras","Honduras"
"portal","tcountryHTI","Haití","Haiti","Haiti","Haïti"
"portal","tcountryIDN","Indonesia","Indonesia","Indonésia","Indonésie"
"portal","tcountryIND","India","India","India","Inde"
"portal","tcountryIRN","Irán","Iran","Iran","Iran"
"portal","tcountryJAM","Jamaica","Jamaica","Jamaica","Jamaïque"
"portal","tcountryJOR","Jordania","Jordan","Jordan","Jordan"
"portal","tcountryLKA","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka"
"portal","tcountryMEX","México","Mexico","México","Mexique"
"portal","tcountryMOZ","Mozambique","Mozambique","Moçambique","Mozambique"
"portal","tcountryNPL","Nepal","Nepal","Nepal","Népal"
"portal","tcountryNIC","Nicaragua","Nicaragua","Nicarágua","Nicaragua"
"portal","tcountryPAN","Panamá","Panama","Panamá","Panama"
"portal","tcountryPER","Perú","Peru","Perú","Pérou"
"portal","tcountryPRY","Paraguay","Paraguay","Paraguai","Paraguay"
"portal","tcountrySLV","El Salvador","El Salvador","El Salvador","El Salvador"
"portal","tcountryTTO","Trinidad y Tobago","Trinidad and Tobago","Trinidad e Tobago","Trinité-et-Tobago"
"portal","tcountryVEN","Venezuela","Venezuela","Venezuela","Venezuela"
"portal","tcountryVUT","Vanuatu","Vanuatu","Vanuatu","Vanuatu"
"portal","msgRegionUSAFL","Florida; EE.UU.","Florida; USA","Flórida; EUA","Floride; USA"
"portal","txtVersion","Versión","Version","Versão","Version"
